2g
marn
marr
marroq
martin
marx
masc
mat
matad
matem
mater
matogros
máx
mct
mec
mecan
mecân
mecanogr
med
méd
mediev
medv
mem
memor
mens
mer
merc
mercad
merid
met
metaf
metáf
metafis
metafór
metal
metalog
metalur
metát
meteor
meton
metr
métr
metrif
metrol
mex
mexic
mi
micol
microbiol
microfot
microg
microl
microm
microsc
microscóp
mil
min
miner
ming
minh
minúsc
miss
mist
míst
mit
mitol
mitôn
mk
ml
mm
moag
mob
moçamb
mod
moed
mon
monog
monogr
mons
mont
montanh
mor
moralid
morf
morfol
mov
mr
mrs
ms
mult
mun
mus
mús
museol
n
nac
nap
nat
natur
náu
náua
náut
nav
naz
neerl
neg
neoguin
neol
neolog
neozel
nep
neur
neutr
nicar
nicarag
nig
niger
nº
nob
nobil
nom
nor
nórd
norm
normat
nort
norueg
notic
nov
nucl
num
núm
numis
numism
nutr
o
ob
obed
obg
obr
obs
obsol
obst
obstet
oc
ocean
oceanogr
ocid
ocul
ocult
odont
odontol
of
ofid
oft
oftalm
oftalmol
olig
onç
oneol
onom
onomást
onomat
onomatop
op
opos
opp
ópt
optat
or
orat
ord
ordin
org
organiz
orig
origin
orign
orn
ornit
ornitol
orog
orogr
orôn
ort
ortogr
ortográf
ortop
ostr
otorr
otorrin
our
ouriv
out
oz
p
pa
pag
pág
pagg
págg
págs
pal
paleob
paleog
paleogr
paleont
paleontol
paleoz
pals
pan
panam
paq
paraens
parag
paraib
paral
paran
paras
parassint
parl
parn
parnas
parôn
part
partic
pass
passm
passr
passt
past
pat
patol
patr
pátr
patron
patrôn
paul
paulist
pç
pça
pdl
pe
pec
ped
pedag
pediat
pedol
pedr
pej
pel
pen
pent
peq
per
pér
perf
perfum
períf
perífr
pern
pernamb
pers
pérs
perspect
perspectiv
peruv
pes
pesc
pesq
pess
pet
petr
petrog
petrogr
petrol
petroq
pf
pg
pgto
piauien
picar
píl
pint
pinx
pirot
pirotec
pirotéc
pisc
piscic
pizz
pl
planej
plást
plat
pleb
pm
pneu
poes
poét
pol
políc
polin
polít
pop
popul
port
posit
poss
possess
pot
potam
pov
pp
pr
prác
prát
prec
preced
precis
pred
predic
pref
prep
prepos
pres
presc
presid
prest
pret
prev
prim
primit
princ
princip
priv
probl
problem
proc
prod
prof
prof.ª
prof.º
profis
profiss
profission
profs
prom
pron
pronon
pronún
prop
propag
propr
pros
prosc
prosôn
prost
prostét
prot
prót
protest
protét
protoc
protoz
prov
provav
provb
provc
provç
proven
provenç
provinc
prox
pseud
psic
psican
psicofisl
psicogn
psicol
psicopat
psiq
psiquiat
pto
pts
pub
púb
públ
public
pug
pulv
q
ql
qq
qtde
qual
qualif
quant
quantit
quart
quest
quí
quích
quím
quimb
quinz
quinzen
quir
quirom
r
rac
racion
rad
rád
radioat
radiod
radiodif
radiog
radiogr
radiol
radiot
radiotec
radiotéc
radiotécn
radioter
rall
rd
realid
rec
recip
recíp
recípr
red
ref
refl
reflex
reform
reg
regim
region
regress
rel
relaç
relat
relativ
relig
reloj
rem
rep
repart
repert
report
repúb
res
rest
restr
restrit
result
ret
retór
retrosp
rev
revers
rg
rib
rit
rod
rom
romn
rot
rr
rub
rum
rur
rus
russ
rúst
s
s.a
sab
sac
sag
sagr
sal
sals
san
sân
sâns
sânscr
sap
sapat
sarg
sát
sax
sb
sc
sch
sço
scr
scul
sec
séc
secr
sécs
sect
seg
segg
segs
sel
sem
semânt
semic
semin
semiol
semit
semít
sen
sent
sep
septent
seq
seqq
sér
serg
seric
sericic
serr
serralh
serv
sérv
set
setent
sf
sg
siam
sib
sid
sider
siderogr
siderotéc
sigil
sign
signif
síl
silog
silv
silvic
simb
símb
simbol
simból
simpl
sin
sinéd
sing
sinon
sinôn
sint
sínt
sir
sír
sist
sit
snr
soc
social
sociol
sól
son
sor
sór
sost
sov
soviét
sp
spp
sq
sr
sr_a_
sra
srª
sres
srv
ss
stac
sto
sub
subafl
subafls
subdiác
subj
subjunt
subord
subst
subvar
suc
sue
suec
suf
suff
suj
sul
sum
súm
sup
super
superf
superl
supl
suprf
suprl
suprs
surr
sv
t
tab
táb
tai
taí
tail
tam
tâm
tan
tang
tanoar
taquigr
tard
tát
taur
taurom
taxid
tea
teat
teatr
tec
téc
tecel
tecgo
tecn
técn
tecna
tecnog
tecnogr
tecnol
tect
tel
tele
telec
telecom
telef
teleg
telegr
telégr
telem
telev
temp
temper
ten
teol
teôn
teor
teos
ter
terap
terapêut
terat
teratol
term
térm
termin
terminol
termod
termodinâm
termom
terr
territ
tes
test
têxt
tib
tibet
tint
tip
tipogr
tipol
tir
tít
ton
tôn
top
tóp
topog
topogr
topol
topon
topôn
torp
tosc
tox
toxiol
tr
trab
trabalh
trad
tradic
tráf
trans
transit
transj
transm
transmont
transobj
transp
trat
trav
trem
trib
trig
trigon
trim
trimest
trit
triv
trop
tun
tunis
tup
tur
turc
turism
tv
u
ucr
ucraín
ucran
ult
umb
un
unif
univ
univers
urb
urban
urol
urug
us
utilid
utilit
utop
utópi
v
vad
vadm
val
var
vasc
vb
vc
vect
veg
vel
veloc
ven
venat
vend
venez
venezuel
verb
vern
veros
veross
vers
versif
vet
veter
vid
vidr
vig
vin
vinic
viol
vit
vitic
vitr
viz
vl
vla
vlc
vln
vm
vn
vo
voc
vog
vol
volat
voll
vols
vox
vs
vulc
vulg
vv
w
x
xenof
xerog
xerogr
xilog
xin
y
yd
z
zend
zo
zool
zoot
zootec
zootéc
